uc002zkr.3	chr22	-	16124263	16193004	16124263	16124263	5	16124263,16162396,16186810,16187164,16192905,	16124973,16162487,16186946,16187302,16193004,		uc002zkr.3
uc002zks.3	chr22	-	16150261	16193004	16150261	16150261	8	16150261,16162396,16186810,16187164,16189031,16189263,16190680,16192905,	16151821,16162487,16186946,16187302,16189143,16189411,16190791,16193004,		uc002zks.3
uc002zkt.2	chr22	+	16162065	16172264	16162065	16162065	3	16162065,16164481,16171951,	16162388,16164569,16172264,		uc002zkt.2
uc002zku.2	chr22	-	16179619	16181004	16179619	16179619	1	16179619,	16181004,		uc002zku.2
uc002zkv.3	chr22	-	16187164	16193004	16187164	16187164	5	16187164,16189031,16189263,16190680,16192905,	16187302,16189143,16189378,16190791,16193004,		uc002zkv.3
uc002zkw.2	chr22	-	16240244	16240281	16240244	16240244	1	16240244,	16240281,		uc002zkw.2
uc002zkx.1	chr22	-	16240300	16240339	16240300	16240300	1	16240300,	16240339,		uc002zkx.1
uc002zky.1	chr22	+	16241086	16241125	16241086	16241086	1	16241086,	16241125,		uc002zky.1
uc002zkz.1	chr22	-	16242000	16242030	16242000	16242000	1	16242000,	16242030,		uc002zkz.1
uc002zla.1	chr22	-	16243380	16243414	16243380	16243380	1	16243380,	16243414,		uc002zla.1
uc002zlb.2	chr22	-	16243908	16243948	16243908	16243908	1	16243908,	16243948,		uc002zlb.2
uc002zlc.1	chr22	-	16245151	16245185	16245151	16245151	1	16245151,	16245185,		uc002zlc.1
uc002zld.2	chr22	-	16245679	16245719	16245679	16245679	1	16245679,	16245719,		uc002zld.2
uc002zle.1	chr22	-	16248998	16249023	16248998	16248998	1	16248998,	16249023,		uc002zle.1
uc002zlf.1	chr22	-	16251234	16254941	16251234	16251234	1	16251234,	16254941,		uc002zlf.1
uc002zlg.1	chr22	-	16256331	16287425	16256331	16256331	12	16256331,16258184,16262903,16266928,16268136,16269872,16275206,16277747,16279194,16282144,16282477,16287253,	16256677,16258303,16262952,16267095,16268181,16269943,16275277,16277885,16279301,16282318,16282592,16287425,		uc002zlg.1
uc002zlh.1	chr22	-	16256331	16287425	16258185	16280411	12	16256331,16258184,16266928,16268136,16269872,16275206,16277747,16279194,16280333,16282144,16282477,16287253,	16256677,16258303,16267095,16268181,16269943,16275277,16277885,16279301,16280589,16282318,16282592,16287425,		uc002zlh.1
uc010gqp.2	chr22	-	16256331	16287937	16258185	16287885	11	16256331,16258184,16266928,16268136,16269872,16275206,16277747,16279194,16282144,16282477,16287253,	16256677,16258303,16267095,16268181,16269943,16275277,16277885,16279301,16282318,16282592,16287937,	NP_001129685	uc010gqp.2
uc002zlj.1	chr22	-	16266928	16287937	16266930	16287390	10	16266928,16268136,16269872,16275206,16277747,16279194,16282144,16282477,16287253,16287537,	16267095,16268181,16269943,16275277,16277885,16279301,16282318,16282592,16287425,16287937,	Q6S8J3-2	uc002zlj.1
uc002zlk.2	chr22	+	16274557	16278598	16274557	16274557	2	16274557,16276480,	16275003,16278598,		uc002zlk.2
uc002zll.1	chr22	+	16373080	16377057	16373080	16373080	3	16373080,16373829,16375448,	16373121,16373911,16377057,		uc002zll.1
uc011agd.1	chr22	-	16448825	16449804	16448826	16449804	1	16448825,	16449804,	Q8NG94	uc011agd.1
uc002zln.1	chr22	+	16492811	16492932	16492811	16492811	1	16492811,	16492932,		uc002zln.1
uc011age.1	chr22	+	17029052	17029078	17029052	17029052	1	17029052,	17029078,		uc011age.1
uc002zlo.1	chr22	+	17029615	17029643	17029615	17029615	1	17029615,	17029643,		uc002zlo.1
uc002zlp.1	chr22	-	17071647	17073700	17071766	17073440	1	17071647,	17073700,	NP_055221	uc002zlp.1
uc010gqq.2	chr22	+	17082800	17095998	17082800	17082800	4	17082800,17092547,17094966,17095588,	17083105,17092783,17095068,17095998,		uc010gqq.2
uc002zlq.3	chr22	+	17082800	17095998	17082800	17082800	3	17082800,17092547,17094966,	17083105,17092783,17095998,		uc002zlq.3
uc002zlr.2	chr22	+	17082800	17129719	17082800	17082800	9	17082800,17092547,17094966,17103730,17117929,17119468,17128057,17128552,17129416,	17083105,17092783,17095068,17103787,17117980,17119630,17128147,17128675,17129719,		uc002zlr.2
uc002zls.1	chr22	+	17082800	17179521	17082800	17082800	3	17082800,17119468,17178385,	17083105,17119630,17179521,		uc002zls.1
uc002zlt.2	chr22	+	17100506	17134580	17100506	17100506	8	17100506,17100941,17103730,17117929,17119468,17128494,17129416,17134399,	17100610,17101050,17103787,17117980,17119630,17128675,17129538,17134580,		uc002zlt.2
uc002zlu.2	chr22	-	17227759	17229328	17227759	17227759	2	17227759,17229165,	17228629,17229328,		uc002zlu.2
uc002zlv.2	chr22	-	17264312	17302584	17264508	17288963	4	17264312,17280660,17288628,17302496,	17265299,17280914,17288973,17302584,	Q5GH77	uc002zlv.2
uc011agf.1	chr22	-	17264312	17302584	17264508	17288963	4	17264312,17280660,17288628,17302496,	17265299,17280914,17288976,17302584,	Q5GH77	uc011agf.1
uc010gqr.1	chr22	+	17308363	17310225	17308363	17308363	2	17308363,17309431,	17308950,17310225,		uc010gqr.1
uc011agg.1	chr22	-	17385314	17385395	17385314	17385314	1	17385314,	17385395,		uc011agg.1
uc002zlw.2	chr22	-	17442828	17489112	17443622	17489004	10	17442828,17444614,17445655,17446067,17446989,17449187,17450832,17468849,17472762,17488830,	17443766,17444719,17445752,17446158,17447254,17449273,17451083,17469057,17473066,17489112,	Q2WGN9	uc002zlw.2
uc010gqs.1	chr22	-	17446991	17489112	17449218	17489004	5	17446991,17449187,17468849,17472762,17488830,	17448371,17449273,17469006,17473066,17489112,		uc010gqs.1
uc002zlx.1	chr22	+	17517459	17539682	17517459	17517459	4	17517459,17525762,17528213,17537962,	17518234,17525890,17528316,17539682,		uc002zlx.1
uc002zly.2	chr22	+	17565848	17591387	17565981	17590710	13	17565848,17577951,17578686,17579664,17581244,17582885,17583028,17584383,17585615,17586480,17586742,17588616,17589196,	17566119,17577976,17578833,17579777,17581371,17582933,17583192,17584467,17585700,17586492,17586844,17588658,17591387,	Q20WK1	uc002zly.2
uc010gqt.2	chr22	+	17565848	17591387	17565981	17590710	10	17565848,17577951,17578686,17579664,17581244,17582885,17583028,17584383,17585615,17589196,	17566119,17577976,17578833,17579777,17581371,17582933,17583192,17584467,17585700,17591387,	A8MVY8	uc010gqt.2
uc002zlz.1	chr22	+	17593917	17596582	17593917	17593917	1	17593917,	17596582,		uc002zlz.1
uc002zmb.2	chr22	-	17597188	17602213	17600280	17602017	1	17597188,	17602213,	Q9BXQ6	uc002zmb.2
uc002zma.2	chr22	-	17597188	17602257	17600280	17600952	2	17597188,17602141,	17601033,17602257,	NP_001156551	uc002zma.2
uc002zmc.2	chr22	+	17602484	17612993	17602484	17602484	4	17602484,17605544,17611251,17612504,	17602929,17605661,17611374,17612993,		uc002zmc.2
uc002zmd.2	chr22	-	17618410	17622467	17618910	17622286	4	17618410,17619439,17621948,17622282,	17619247,17619628,17622123,17622467,	B3KVW8	uc002zmd.2
uc002zme.2	chr22	-	17618410	17629450	17618910	17622070	5	17618410,17619439,17621948,17625913,17629337,	17619247,17619628,17622123,17626007,17629450,	B3KVW8	uc002zme.2
